i,j,cmd,value
ABW,NLD,850511,230.22549019607845
AFG,AUS,280429,8121.000795567526
AFG,PAK,251110,1609.146610884194
AFG,PAK,270112,161279023.37745097
AGO,CHN,260200,7092838.20691525
AGO,COD,250490,13.028
AGO,COD,280470,141.998
AGO,GBR,280429,39200.572
AGO,GEO,260200,19676.446
AGO,IND,260200,1846.024
AGO,MRT,251110,237303.528
AGO,MRT,280429,18454.122
AGO,NAM,251110,819510.276
AGO,NLD,740311,4709312.968627451
AGO,STP,251110,321865.436
AGO,STP,280429,21001.274
AGO,STP,280470,236.36856980570582
AGO,ZAF,251010,243.178
AGO,ZAF,280429,266.76749392793687
ALB,BIH,810411,138119.6923076923
ALB,CHE,280429,81826.49434552716
ALB,DEU,750210,3878.407843137255
ALB,FRA,251010,36125.759999999995
ALB,FRA,850511,1415.9921568627449
ALB,MAR,850511,26.823529411764707
ALB,MKD,270112,4556882.68627451
ALB,MKD,280429,749.5286525686477
ALB,NLD,270112,38.19901960784314
ALB,SRB,270112,217074.50980392157
AND,PNG,280429,547.5816984479317
AND,SWZ,280469,16.867773444051895
ARE,AFG,280429,792291.605
ARE,AFG,850511,2576.049
ARE,AGO,280429,1291122.0331620171
ARE,AGO,280469,93095.93151521517
ARE,AGO,850511,10791.227815717068
ARE,ALB,850511,2207.926
ARE,ARM,850511,6414.608
ARE,AUS,280429,889875.2029549753
ARE,AUS,811010,360.501
ARE,AUS,850511,3945.386
ARE,AUT,850511,52.65196078431372
ARE,AZE,252910,513.25
ARE,AZE,280429,539511.6279952455
ARE,AZE,720293,55521.305
ARE,AZE,750210,1083046.94
ARE,BDI,251010,1088.3015384615383
ARE,BDI,280429,89307.20535814141
ARE,BEL,270112,20.534313725490197
ARE,BEL,711011,457128.5374799661
ARE,BEL,850511,18.611
ARE,BFA,280429,45885.091
ARE,BGD,251110,136.76
ARE,BGD,280429,840375.062
ARE,BGD,711011,287866.568
ARE,BHR,250490,5129.325420830294
ARE,BHR,252800,544.588
ARE,BHR,252910,152.212
ARE,BHR,280429,55224.05346870139
ARE,BHR,280469,278.79770060736786
ARE,BHR,283692,680.735
ARE,BHR,720292,162885.223
ARE,BHR,720293,7164.765
ARE,BHR,740311,7490183.589
ARE,BHR,750210,21840.435
ARE,BHR,810194,274.399
ARE,BHR,810411,61.266
ARE,BHR,850511,23527.398
ARE,BOL,280429,153909.87722969856
ARE,BRA,282200,138497.28966300646
ARE,BRA,720293,91679.262
ARE,BTN,260200,212647.28688026287
ARE,BWA,280429,41236.976190466296
ARE,CAN,720293,607777.791
ARE,CAN,750210,1437.982
ARE,CAN,850511,365539.9936066666
ARE,CHE,711011,18923634.303597584
ARE,CHL,260600,90.77450980392157
ARE,CHL,280429,82060.393
ARE,CHL,850511,3863.7554898863204
ARE,CHN,251010,5568.414
ARE,CHN,252922,383.3333333333333
ARE,CHN,280429,9097097.141676996
ARE,CHN,280469,18490.763
ARE,CHN,283692,305429.09450917674
ARE,CHN,720292,73395.233
ARE,CHN,720293,20178.352
ARE,CHN,740311,15947294.815138385
ARE,CHN,750210,101020146.941
ARE,CHN,810820,397.707
ARE,CHN,811292,21844.329
ARE,CHN,850511,28935.068
ARE,CIV,280429,26938.89994744025
ARE,CIV,850511,38.402
ARE,CMR,280429,30565.478287922782
ARE,CMR,850511,4133.966
ARE,COD,280429,6466.21008732038
ARE,COD,280469,404.357
ARE,COD,810820,1044.53239891427
ARE,COD,850511,1.5646736148701952
ARE,COG,280429,19113.393880818996
ARE,COG,280469,3722.666
ARE,COG,850511,2324.019
ARE,COL,850511,19990.983319083873
ARE,CZE,850511,2447.0588235294117
ARE,DEU,250490,16035.125
ARE,DEU,280470,1406133.759534478
ARE,DEU,711011,160553.8439317657
ARE,DEU,850511,3494.815
ARE,DJI,250490,123.183
ARE,DJI,252910,575.997
ARE,DJI,280429,6873.91534090787
ARE,DJI,280469,138.4302245038224
ARE,DJI,811212,16366.857843137253
ARE,DNK,280429,359247.31331208296
