i,j,cmd,value
ABW,NLD,850511,235.0
AFG,AUS,280429,4162.0
AFG,PAK,251110,1913.0
AFG,PAK,270112,164504604.0
AGO,CHN,260200,7524897.0
AGO,COD,250490,7.0
AGO,COD,280470,71.0
AGO,GBR,280429,19600.0
AGO,GEO,260200,9838.0
AGO,IND,260200,923.0
AGO,MRT,251110,118652.0
AGO,MRT,280429,9227.0
AGO,NAM,251110,409755.0
AGO,NLD,740311,4803499.0
AGO,STP,251110,160933.0
AGO,STP,280429,10501.0
AGO,ZAF,251010,122.0
AGO,ZAF,280429,68.0
ALB,BIH,810411,22444.0
ALB,CHE,280429,20967.0
ALB,DEU,750210,494.0
ALB,MAR,850511,27.0
ALB,MKD,270112,2324010.0
ALB,MKD,280429,384.0
ALB,NLD,270112,39.0
ALB,SRB,270112,27677.0
AND,PNG,280429,561.0
AND,SWZ,280469,18.0
ARE,AFG,280429,792292.0
ARE,AFG,850511,2576.0
ARE,AGO,280429,842134.0
ARE,AGO,280469,49838.0
ARE,AGO,850511,5413.0
ARE,ALB,850511,2208.0
ARE,ARM,850511,6415.0
ARE,AUS,280429,739964.0
ARE,AUS,811010,361.0
ARE,AUS,850511,3945.0
ARE,AUT,850511,54.0
ARE,AZE,252910,513.0
ARE,AZE,280429,76702.0
ARE,AZE,720293,55521.0
ARE,AZE,750210,1083047.0
ARE,BDI,251010,354.0
ARE,BDI,280429,52835.0
ARE,BEL,270112,21.0
ARE,BEL,711011,234530.0
ARE,BEL,850511,19.0
ARE,BFA,280429,45885.0
ARE,BGD,251110,137.0
ARE,BGD,280429,840375.0
ARE,BGD,711011,287867.0
ARE,BHR,250490,5174.0
ARE,BHR,252800,545.0
ARE,BHR,252910,152.0
ARE,BHR,280429,56563.0
ARE,BHR,280469,335.0
ARE,BHR,283692,681.0
ARE,BHR,720292,162885.0
ARE,BHR,720293,7165.0
ARE,BHR,740311,7490184.0
ARE,BHR,750210,21840.0
ARE,BHR,810194,274.0
ARE,BHR,810411,61.0
ARE,BHR,850511,23527.0
ARE,BOL,280429,78874.0
ARE,BRA,282200,89819.0
ARE,BRA,720293,91679.0
ARE,BTN,260200,225601.0
ARE,BWA,280429,21133.0
ARE,CAN,720293,607778.0
ARE,CAN,750210,1438.0
ARE,CAN,850511,179718.0
ARE,CHE,711011,14947710.0
ARE,CHL,260600,93.0
ARE,CHL,280429,82060.0
ARE,CHL,850511,5233.0
ARE,CHN,251010,5568.0
ARE,CHN,252922,391.0
ARE,CHN,280429,7834091.0
ARE,CHN,280469,18491.0
ARE,CHN,283692,350576.0
ARE,CHN,720292,73395.0
ARE,CHN,720293,20178.0
ARE,CHN,740311,73932305.0
ARE,CHN,750210,101020147.0
ARE,CHN,810820,398.0
ARE,CHN,811292,21844.0
ARE,CHN,850511,28935.0
ARE,CIV,280429,31651.0
ARE,CIV,850511,38.0
ARE,CMR,280429,16429.0
ARE,CMR,850511,4134.0
ARE,COD,280469,404.0
ARE,COD,850511,1.0
ARE,COG,280429,29967.0
ARE,COG,280469,3723.0
ARE,COG,850511,2324.0
ARE,COL,850511,6703.0
ARE,CZE,850511,624.0
ARE,DEU,250490,16035.0
ARE,DEU,280470,216742.0
ARE,DEU,711011,65034.00000000001
ARE,DEU,850511,3495.0
ARE,DJI,250490,123.0
ARE,DJI,252910,576.0
ARE,DJI,280429,6644.0
ARE,DJI,280469,40.0
ARE,DNK,280429,368206.0
ARE,DZA,280429,14631.0
ARE,DZA,850511,2331.0
ARE,ECU,280429,43743.0
ARE,EGY,251110,1231.0
ARE,EGY,280429,259918.0
ARE,EGY,850511,102309.0
ARE,ESP,280429,986689.0
ARE,ESP,750210,365130.0
ARE,ESP,850511,1086.0
ARE,EST,810411,14.0
ARE,EST,850511,3.0
ARE,ETH,260600,56277.0
ARE,ETH,280429,83673.0
ARE,ETH,280469,63.0
ARE,ETH,711011,189843.0
ARE,ETH,811010,1006.0
ARE,ETH,850511,422.0
ARE,FIN,850511,636.0
ARE,FRA,280429,6317.0
ARE,FRA,280469,7844.0
ARE,FRA,850511,69.0
ARE,GAB,280469,1492.0
ARE,GBR,280429,1986308.0
ARE,GBR,280469,1659.0
ARE,GBR,711011,111.0
ARE,GBR,720292,1.0
ARE,GBR,810820,37140.0
ARE,GBR,850511,23239.0
ARE,GEO,280429,152897.0
ARE,GEO,850511,800.0
ARE,GHA,251010,1018.9999999999999
ARE,GHA,251110,130907.99999999999
ARE,GHA,280429,50886.0
ARE,GHA,280469,42591.0
ARE,GHA,850511,479.0
ARE,GIN,280429,65162.00000000001
ARE,GIN,850511,146.0
ARE,GMB,280469,2731.0
ARE,GNB,850511,41.0
ARE,GNQ,850511,104.0
ARE,GRC,850511,43.0
ARE,HKG,280429,1240167.0
ARE,HKG,711011,3596579.0
ARE,HKG,811010,178.0
ARE,HKG,850511,5616.0
ARE,HUN,251010,50.0
ARE,IDN,850511,1855.0
ARE,IND,251110,219414.0
ARE,IND,252910,51.0
ARE,IND,260200,108986491.0
ARE,IND,260600,11713.0
ARE,IND,270112,26239166.0
ARE,IND,280429,2225566.0
ARE,IND,280469,191508.0
ARE,IND,280470,4557644.0
ARE,IND,282200,61359.0
ARE,IND,283692,1102918.0
ARE,IND,711011,4470592.0
ARE,IND,711021,32423.0
ARE,IND,720292,2973462.0
ARE,IND,720293,650990.0
ARE,IND,740311,24282181.0
ARE,IND,750210,61025560.0
ARE,IND,810194,1642.0
ARE,IND,810820,8928.0
ARE,IND,850511,45739.0
ARE,IRL,280429,356.0
ARE,IRN,252910,619491.0
ARE,IRN,260200,25855009.0
ARE,IRN,260600,8234830.0
ARE,IRN,280429,4968458.0
ARE,IRN,280469,1497722.0
ARE,IRN,280480,5543.0
ARE,IRN,282200,1441566.0
ARE,IRN,283691,215247.0
ARE,IRN,711011,516910.99999999994
ARE,IRN,720292,11495799.0
ARE,IRN,720293,2584739.0
ARE,IRN,750210,10813728.0
ARE,IRN,811010,724882.0
ARE,IRN,850511,411124.0
ARE,IRQ,252800,16880.0
ARE,IRQ,280429,2438625.0
ARE,IRQ,711011,11491401.0
ARE,IRQ,711021,700871.0
ARE,IRQ,810820,1491.0
ARE,IRQ,811292,61.0
ARE,IRQ,850511,107758.0
ARE,ISL,810820,22790.0
ARE,ISR,280429,963248.0
ARE,ISR,850511,1000.0
ARE,ITA,252910,4.0
ARE,ITA,280429,34230.0
ARE,ITA,280469,37442.0
ARE,ITA,711011,15883.0
ARE,ITA,711021,20077.0
ARE,ITA,850511,1014.0
ARE,JOR,250490,2761.0
ARE,JOR,251110,4445.0
ARE,JOR,280429,172851.0
ARE,JOR,280469,1666.0
ARE,JOR,850511,6461.0
ARE,JPN,280429,1944080.0
ARE,JPN,711011,569085.0
ARE,KAZ,280429,2136.0
ARE,KAZ,810320,208784.0
ARE,KAZ,810411,45.0
ARE,KAZ,850511,387.0
ARE,KEN,251110,931.0
ARE,KEN,280429,153590.0
ARE,KEN,280469,1012.9999999999999
ARE,KEN,283691,74.0
ARE,KEN,750210,6019.0
ARE,KEN,850511,2169.0
ARE,KGZ,850511,75.0
ARE,KOR,270112,8669167.0
ARE,KOR,280429,113128.0
ARE,KOR,283692,9.0
ARE,KOR,750210,2336493.0
ARE,KOR,810820,88521.0
ARE,KOR,850511,71.0
ARE,KWT,250490,12139.0
ARE,KWT,260600,123568.0
ARE,KWT,270112,3747.0
ARE,KWT,280429,3306909.0
ARE,KWT,280469,6263.0
ARE,KWT,711011,118158.0
ARE,KWT,850511,3033.0
ARE,LAO,270112,1499074.0
ARE,LBN,280429,129294.00000000001
ARE,LBN,850511,13984.0
ARE,LBY,280429,17590.0
ARE,LBY,850511,1577.0
ARE,LKA,250490,36.0
ARE,LKA,252910,5.0
ARE,LKA,280429,111908.0
ARE,LKA,280469,285.0
ARE,LKA,711011,98612.0
ARE,LKA,810820,6.0
ARE,LKA,850511,302.0
ARE,LTU,850511,2107.0
ARE,LUX,850511,38.0
ARE,LVA,850511,8077.999999999999
ARE,MAR,280429,153352.0
ARE,MDA,850511,248.0
ARE,MDG,280429,143943.0
ARE,MDG,850511,16.0
ARE,MDV,252800,108.0
ARE,MDV,280429,5124.0
ARE,MDV,810194,173.0
ARE,MDV,850511,13.0
ARE,MEX,850511,2635.0
ARE,MMR,280429,56635.0
ARE,MOZ,850511,144.0
ARE,MRT,280429,44749.0
ARE,MRT,850511,1086.0
ARE,MUS,280429,46678.0
ARE,MUS,282200,3757.0
ARE,MUS,850511,121.0
ARE,MWI,280429,114620.0
ARE,MYS,251010,12468.0
ARE,MYS,280429,79425.0
ARE,MYS,720292,968272.0
ARE,MYS,740311,2770937.0
ARE,MYS,850511,16790.0
ARE,NAM,280429,14500.0
ARE,NER,850511,150650.0
ARE,NGA,280429,503207.0
ARE,NGA,810194,40.0
ARE,NGA,850511,18652.0
ARE,NLD,260200,63.0
ARE,NLD,260600,2.0
ARE,NLD,280429,10003.0
ARE,NLD,720293,7918.0
ARE,NLD,750210,19875370.0
ARE,NLD,850511,5122.0
ARE,NOR,850511,12022.0
ARE,NPL,280429,61522.0
ARE,NZL,850511,505.0
ARE,OMN,250490,13830.0
ARE,OMN,251010,34670.0
ARE,OMN,251110,5267019.0
ARE,OMN,252910,26869.0
ARE,OMN,260200,1657.0
ARE,OMN,260600,534026.0
ARE,OMN,270112,77044.0
ARE,OMN,280429,1282785.0
ARE,OMN,280469,10281.0
ARE,OMN,282200,8934.0
ARE,OMN,283691,1277.0
ARE,OMN,711011,1482.0
ARE,OMN,720292,950117.0
ARE,OMN,740311,60248606.0
ARE,OMN,750210,42559.0
ARE,OMN,810194,1391.0
ARE,OMN,810411,255743.0
ARE,OMN,850511,257528.00000000003
ARE,PAK,250490,56.0
ARE,PAK,260200,53.0
ARE,PAK,280429,552336.0
ARE,PAK,280469,2081.0
ARE,PAK,280470,29775.0
ARE,PAK,282200,79944.0
ARE,PAK,711011,30796.0
ARE,PAK,720292,73395.0
ARE,PAK,740311,2029030.0
ARE,PAK,850511,4699.0
ARE,PHL,280429,4899.0
ARE,PHL,283691,958.0
ARE,PNG,280429,39218.0
ARE,PNG,280469,219.0
ARE,PNG,850511,63.0
ARE,POL,280469,65214.0
ARE,POL,810820,73477.0
ARE,POL,850511,1030.0
ARE,QAT,251110,23690.0
ARE,QAT,260600,109.0
ARE,QAT,270112,20000.0
ARE,QAT,280429,54771.0
ARE,QAT,280469,70.0
ARE,QAT,711011,69640.0
ARE,QAT,720292,2140.0
ARE,QAT,810194,7198.0
ARE,QAT,810820,811.0
ARE,QAT,850511,97786.0
ARE,ROU,810194,6167.0
ARE,ROU,850511,1199.0
ARE,RUS,711011,10900878.0
ARE,RUS,711021,862057.0
ARE,RUS,720292,513135.0
ARE,RUS,750210,572177.0
ARE,RUS,810820,242740.0
ARE,RUS,850511,8944.0
ARE,RWA,280429,45050.0
ARE,RWA,850511,163.0
ARE,S19,280429,1455736.0
ARE,SAU,250490,3313.0
ARE,SAU,251110,19316.0
ARE,SAU,252800,16986.0
ARE,SAU,252910,15288.0
ARE,SAU,252922,729.0
ARE,SAU,260600,1361.0
ARE,SAU,270112,4051.9999999999995
ARE,SAU,280429,1409062.0
ARE,SAU,280469,2021.9999999999998
ARE,SAU,282200,5832.0
ARE,SAU,740311,5432974.0
ARE,SAU,750210,3370536.0
ARE,SAU,810194,1412.0
ARE,SAU,810320,2956.0
ARE,SAU,810820,33.0
ARE,SAU,850511,85179.0
ARE,SDN,251110,1838.0
ARE,SDN,280429,402128.0
ARE,SDN,850511,793.0
ARE,SEN,280429,32686.999999999996
ARE,SEN,280469,3356.0
ARE,SEN,850511,5.0
ARE,SGP,280429,162625.0
ARE,SGP,850511,162.0
ARE,SOM,850511,82.0
ARE,SVN,850511,4.0
ARE,SYC,280429,463.0
ARE,SYC,850511,323.0
ARE,SYR,280429,186384.0
ARE,TGO,850511,16.0
ARE,THA,270112,112483.0
ARE,THA,850511,50.0
ARE,TJK,280469,286.0
ARE,TKM,280429,80734.0
ARE,TKM,850511,3115.0
ARE,TTO,280429,70597.0
ARE,TUN,280429,311491.0
ARE,TUN,850511,21.0
ARE,TUR,252800,108824.0
ARE,TUR,280429,264828.0
ARE,TUR,711011,666396.0
ARE,TUR,850511,228.0
ARE,TZA,280429,67614.0
ARE,TZA,280469,123.0
ARE,TZA,740311,45296.0
ARE,TZA,850511,680.0
ARE,UGA,280429,163928.0
ARE,UGA,280469,68.0
ARE,UGA,711021,271.0
ARE,UGA,850511,2479.0
ARE,USA,251110,3.0
ARE,USA,280429,33524.0
ARE,USA,711011,452.0
ARE,USA,810194,6381.0
ARE,USA,850511,2734.0
ARE,UZB,280429,113277.0
ARE,UZB,282200,213183.0
ARE,VNM,280429,172541.0
ARE,VNM,810194,1746.0
ARE,VNM,850511,325.0
ARE,YEM,251110,76625.0
ARE,YEM,252800,57540.0
ARE,YEM,260200,2106.0
ARE,YEM,280429,2095.0
ARE,YEM,280469,365.0
ARE,YEM,850511,694.0
ARE,ZAF,280429,1104287.0
ARE,ZAF,711011,47887982.0
ARE,ZAF,711021,4833764.0
